# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_bidirectional_gene_fusion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
RRAS2	ENSG00000133818	ENST00000529237	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000531421	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000531807	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000532814	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000532950	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000534746	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000537760	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000545643	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SCGB1C1	ENSG00000188076	ENST00000342878	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
SIRT3	ENSG00000142082	ENST00000382743	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000524564	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000525319	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000526854	nonsense_mediated_decay	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000528702	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000529055	nonsense_mediated_decay	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000529382	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000529937	nonsense_mediated_decay	1	1	0	1	0	0	0	0	0	1	1	1	0	2	0	0
SIRT3	ENSG00000142082	ENST00000531753	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000532837	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000532956	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SIRT3	ENSG00000142082	ENST00000534381	retained_intron	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SLC36A4	ENSG00000180773	ENST00000326402	protein_coding	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
SOX6	ENSG00000110693	ENST00000524520	processed_transcript	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
SOX6	ENSG00000110693	ENST00000525259	processed_transcript	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
SOX6	ENSG00000110693	ENST00000525835	processed_transcript	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
SOX6	ENSG00000110693	ENST00000530378	nonsense_mediated_decay	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
SOX6	ENSG00000110693	ENST00000533658	processed_transcript	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
SYT9	ENSG00000170743	ENST00000318881	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SYT9	ENSG00000170743	ENST00000524820	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SYT9	ENSG00000170743	ENST00000532592	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TNNT3	ENSG00000130595	ENST00000278317	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000344578	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000360603	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000381548	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000381549	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000381557	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000381561	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000381563	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000381579	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000381589	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TNNT3	ENSG00000130595	ENST00000453458	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TRPC6	ENSG00000137672	ENST00000344327	protein_coding	28	0	1	0	0	0	0	12	28	1	0	0	0	0	0	0
TRPC6	ENSG00000137672	ENST00000348423	protein_coding	24	0	1	0	0	0	0	12	24	1	0	0	0	0	0	0
TRPC6	ENSG00000137672	ENST00000360497	protein_coding	20	0	1	0	0	0	0	12	20	1	0	0	0	0	0	0
TRPC6	ENSG00000137672	ENST00000526713	processed_transcript	16	0	1	0	0	0	0	12	16	1	0	0	0	0	0	0
TRPC6	ENSG00000137672	ENST00000527240	retained_intron	12	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0
TRPC6	ENSG00000137672	ENST00000532133	protein_coding	8	0	1	0	0	0	0	4	8	1	0	0	0	0	0	0
TRPC6	ENSG00000137672	ENST00000532184	retained_intron	4	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0
TYRL	ENSG00000123447	ENST00000243152	processed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
TYRL	ENSG00000123447	ENST00000531826	processed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
USP47	ENSG00000170242	ENST00000339865	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
USP47	ENSG00000170242	ENST00000399455	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
USP47	ENSG00000170242	ENST00000525257	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
USP47	ENSG00000170242	ENST00000527733	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
USP47	ENSG00000170242	ENST00000539466	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ZC3H12C	ENSG00000149289	ENST00000278590	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ZC3H12C	ENSG00000149289	ENST00000453089	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ZC3H12C	ENSG00000149289	ENST00000528673	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF143	ENSG00000166478	ENST00000299606	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF143	ENSG00000166478	ENST00000396597	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF143	ENSG00000166478	ENST00000396602	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF143	ENSG00000166478	ENST00000396604	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF143	ENSG00000166478	ENST00000530463	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
snoU13	ENSG00000238724	ENST00000459372	snoRNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
